2026-04-08 20:35:17 | DEBUG    | src.utils.paths | project_root() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient
2026-04-08 20:35:17 | DEBUG    | src.utils.paths | rubrics_dir() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics
2026-04-08 20:35:17 | DEBUG    | src.utils.paths | default_rubric_path('psychiatry_intake.json') -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics\psychiatry_intake.json
2026-04-08 20:35:17 | DEBUG    | src.utils.paths | project_root() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient
2026-04-08 20:35:17 | DEBUG    | src.utils.paths | rubrics_dir() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics
2026-04-08 20:35:17 | DEBUG    | src.utils.paths | default_rubric_path('psychiatry_intake.json') -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics\psychiatry_intake.json
2026-04-08 20:35:18 | DEBUG    | passlib.utils.compat | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2026-04-08 20:35:18 | DEBUG    | passlib.utils.compat | loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2026-04-08 20:35:18 | DEBUG    | passlib.utils.compat | loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2026-04-08 20:35:18 | DEBUG    | passlib.registry | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2026-04-08 20:35:18 | INFO     | api.main | Application startup: loading environment and initializing database
2026-04-08 20:35:18 | INFO     | src.utils.env | Loading environment variables from .env file
2026-04-08 20:35:18 | DEBUG    | src.utils.env | Environment variables loaded (override=False)
2026-04-08 20:35:18 | DEBUG    | api.main | Environment variables loaded
2026-04-08 20:35:18 | INFO     | api.database | Initializing MongoDB database
2026-04-08 20:35:18 | DEBUG    | pymongo.topology | {"message": "Starting topology monitoring", "topologyId": {"$oid": "69d691d681155e60aebde82f"}}
2026-04-08 20:35:18 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "previousDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None>]>"}
2026-04-08 20:35:18 | DEBUG    | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017}
2026-04-08 20:35:18 | DEBUG    | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017}
2026-04-08 20:35:18 | DEBUG    | pymongo.serverSelection | {"message": "Server selection started", "selector": "<function writable_server_selector at 0x000001E4D3D4D9E0>", "operation": "createIndexes", "topologyDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69d691d681155e60aebde82f"}}
2026-04-08 20:35:18 | DEBUG    | pymongo.serverSelection | {"message": "Waiting for suitable server to become available", "selector": "<function writable_server_selector at 0x000001E4D3D4D9E0>", "operation": "createIndexes", "topologyDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69d691d681155e60aebde82f"}, "remainingTimeMS": 30000}
2026-04-08 20:35:20 | DEBUG    | pymongo.topology | {"message": "Server heartbeat failed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017, "awaited": false, "durationMS": 2062.999999994645, "failure": "\"AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2026-04-08 20:35:20 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "previousDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
2026-04-08 20:35:22 | DEBUG    | pymongo.topology | {"message": "Server heartbeat failed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017, "awaited": false, "durationMS": 2031.0000000172295, "failure": "\"AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2026-04-08 20:35:22 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "previousDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>", "newDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
2026-04-08 20:35:25 | DEBUG    | pymongo.topology | {"message": "Server heartbeat failed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017, "awaited": false, "durationMS": 2062.999999994645, "failure": "\"AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2026-04-08 20:35:25 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "previousDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>", "newDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
2026-04-08 20:35:27 | DEBUG    | pymongo.topology | {"message": "Server heartbeat failed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017, "awaited": false, "durationMS": 2062.999999994645, "failure": "\"AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2026-04-08 20:35:27 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "previousDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>", "newDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
2026-04-08 20:35:30 | DEBUG    | pymongo.topology | {"message": "Server heartbeat failed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017, "awaited": false, "durationMS": 2046.9999999913853, "failure": "\"AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2026-04-08 20:35:30 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "previousDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>", "newDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
2026-04-08 20:35:33 | DEBUG    | pymongo.topology | {"message": "Server heartbeat failed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017, "awaited": false, "durationMS": 2046.0000000020955, "failure": "\"AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2026-04-08 20:35:33 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "previousDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>", "newDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
2026-04-08 20:35:35 | DEBUG    | pymongo.topology | {"message": "Server heartbeat failed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017, "awaited": false, "durationMS": 2046.9999999913853, "failure": "\"AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2026-04-08 20:35:35 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "previousDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>", "newDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
2026-04-08 20:35:38 | DEBUG    | pymongo.topology | {"message": "Server heartbeat failed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017, "awaited": false, "durationMS": 2031.0000000172295, "failure": "\"AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2026-04-08 20:35:38 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "previousDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>", "newDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
2026-04-08 20:35:40 | DEBUG    | pymongo.topology | {"message": "Server heartbeat failed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "serverHost": "localhost", "serverPort": 27017, "awaited": false, "durationMS": 2031.0000000172295, "failure": "\"AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2026-04-08 20:35:40 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d691d681155e60aebde82f"}, "previousDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>", "newDescription": "<TopologyDescription id: 69d691d681155e60aebde82f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
