2026-04-12 23:25:09 | DEBUG    | src.utils.paths | project_root() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient
2026-04-12 23:25:09 | DEBUG    | src.utils.paths | rubrics_dir() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics
2026-04-12 23:25:09 | DEBUG    | src.utils.paths | default_rubric_path('psychiatry_intake.json') -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics\psychiatry_intake.json
2026-04-12 23:25:09 | DEBUG    | src.utils.paths | project_root() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient
2026-04-12 23:25:09 | DEBUG    | src.utils.paths | rubrics_dir() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics
2026-04-12 23:25:09 | DEBUG    | src.utils.paths | default_rubric_path('psychiatry_intake.json') -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics\psychiatry_intake.json
2026-04-12 23:25:09 | INFO     | api.main | Application startup: loading environment and initializing database
2026-04-12 23:25:09 | INFO     | src.utils.env | Loading environment variables from .env file
2026-04-12 23:25:09 | DEBUG    | src.utils.env | Environment variables loaded (override=False)
2026-04-12 23:25:09 | DEBUG    | api.main | Environment variables loaded
2026-04-12 23:25:09 | INFO     | api.database | Initializing MongoDB database
2026-04-12 23:25:09 | DEBUG    | api.database | Database indexes created successfully
2026-04-12 23:25:09 | DEBUG    | api.main | Database initialized
2026-04-12 23:25:09 | INFO     | api.main | Application startup complete
