2026-04-12 23:23:00 | DEBUG    | src.utils.paths | project_root() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient
2026-04-12 23:23:00 | DEBUG    | src.utils.paths | rubrics_dir() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics
2026-04-12 23:23:00 | DEBUG    | src.utils.paths | default_rubric_path('psychiatry_intake.json') -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics\psychiatry_intake.json
2026-04-12 23:23:00 | DEBUG    | src.utils.paths | project_root() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient
2026-04-12 23:23:00 | DEBUG    | src.utils.paths | rubrics_dir() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics
2026-04-12 23:23:00 | DEBUG    | src.utils.paths | default_rubric_path('psychiatry_intake.json') -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics\psychiatry_intake.json
2026-04-12 23:23:00 | INFO     | api.main | Application startup: loading environment and initializing database
2026-04-12 23:23:00 | INFO     | src.utils.env | Loading environment variables from .env file
2026-04-12 23:23:00 | DEBUG    | src.utils.env | Environment variables loaded (override=False)
2026-04-12 23:23:00 | DEBUG    | api.main | Environment variables loaded
2026-04-12 23:23:00 | INFO     | api.database | Initializing MongoDB database
2026-04-12 23:23:00 | DEBUG    | api.database | Database indexes created successfully
2026-04-12 23:23:00 | DEBUG    | api.main | Database initialized
2026-04-12 23:23:00 | INFO     | api.main | Application startup complete
2026-04-12 23:23:04 | DEBUG    | api.database | Fetching session info: '5dc4c13b-c6f4-4087-ad14-ec9673a190f7'
2026-04-12 23:23:04 | DEBUG    | api.database | Session found: expires_at check for '5dc4c13b-c6f4-4087-ad14-ec9673a190f7'
2026-04-12 23:24:03 | DEBUG    | api.database | Fetching session info: '5dc4c13b-c6f4-4087-ad14-ec9673a190f7'
2026-04-12 23:24:03 | DEBUG    | api.database | Session found: expires_at check for '5dc4c13b-c6f4-4087-ad14-ec9673a190f7'
2026-04-12 23:24:36 | INFO     | api.main | Application shutdown
