2026-04-08 22:18:33 | DEBUG    | src.utils.paths | project_root() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient
2026-04-08 22:18:33 | DEBUG    | src.utils.paths | rubrics_dir() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics
2026-04-08 22:18:33 | DEBUG    | src.utils.paths | default_rubric_path('psychiatry_intake.json') -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics\psychiatry_intake.json
2026-04-08 22:18:33 | DEBUG    | src.utils.paths | project_root() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient
2026-04-08 22:18:33 | DEBUG    | src.utils.paths | rubrics_dir() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics
2026-04-08 22:18:33 | DEBUG    | src.utils.paths | default_rubric_path('psychiatry_intake.json') -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics\psychiatry_intake.json
2026-04-08 22:18:33 | DEBUG    | passlib.utils.compat | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2026-04-08 22:18:33 | DEBUG    | passlib.utils.compat | loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2026-04-08 22:18:33 | DEBUG    | passlib.utils.compat | loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2026-04-08 22:18:33 | DEBUG    | passlib.registry | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2026-04-08 22:18:33 | INFO     | api.main | Application startup: loading environment and initializing database
2026-04-08 22:18:33 | INFO     | src.utils.env | Loading environment variables from .env file
2026-04-08 22:18:33 | DEBUG    | src.utils.env | Environment variables loaded (override=False)
2026-04-08 22:18:33 | DEBUG    | api.main | Environment variables loaded
2026-04-08 22:18:33 | INFO     | api.database | Initializing MongoDB database
2026-04-08 22:18:33 | DEBUG    | pymongo.topology | {"message": "Starting topology monitoring", "topologyId": {"$oid": "69d6aa09f463b0e51fbcd245"}}
2026-04-08 22:18:33 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d6aa09f463b0e51fbcd245"}, "previousDescription": "<TopologyDescription id: 69d6aa09f463b0e51fbcd245, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 69d6aa09f463b0e51fbcd245, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None>]>"}
2026-04-08 22:18:33 | DEBUG    | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "69d6aa09f463b0e51fbcd245"}, "serverHost": "localhost", "serverPort": 27017}
2026-04-08 22:18:33 | DEBUG    | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "69d6aa09f463b0e51fbcd245"}, "serverHost": "localhost", "serverPort": 27017}
2026-04-08 22:18:33 | DEBUG    | pymongo.serverSelection | {"message": "Server selection started", "selector": "<function writable_server_selector at 0x000002843D2BD800>", "operation": "createIndexes", "topologyDescription": "<TopologyDescription id: 69d6aa09f463b0e51fbcd245, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69d6aa09f463b0e51fbcd245"}}
